route_id,service_id,trip_id
38,8,33838
38,9,33839
53,2,38112
22,8,39468
22,13,394213
48,2,31612
48,3,31613
22,3,39463
22,2,39462
48,8,31618
48,9,31619
51,2,29052
33,2,40252
50,9,28589
15,2,37112
33,8,40258
50,3,28583
51,8,29058
15,9,37119
15,8,37118
18,13,399313
57,2,34132
57,3,34133
51,8,28908
3,8,23768
51,2,28902
3,2,23762
48,2,31472
48,3,31473
3,8,23568
3,2,23562
50,3,28633
50,9,28639
54,2,38452
48,2,31502
48,3,31503
54,8,38208
54,9,38209
48,8,31508
2,8,23168
54,2,38202
15,9,37019
44,2,22562
50,3,28393
48,2,31982
48,3,31983
54,9,38459
44,8,22568
8,2,32552
48,9,31989
38,9,33169
43,2,26412
2,8,23308
36,8,28838
43,7,26417
36,2,28832
2,2,23302
57,9,34119
51,2,32952
22,9,39089
22,8,39088
51,8,32958
22,3,39083
22,2,39082
22,3,39243
22,2,39242
8,8,32428
22,8,39248
50,9,28399
53,2,38932
48,9,31849
22,13,392213
53,8,38938
53,9,38939
48,2,31872
48,3,31873
45,2,23942
2,2,23412
48,8,31878
48,2,31922
2,8,23418
45,8,23948
3,2,23782
9,7,26307
9,2,26302
3,8,23788
8,2,32172
57,8,34088
8,8,32178
22,13,396513
8,2,32372
48,8,31928
8,8,32378
50,9,28459
9,13,262713
52,8,32988
54,2,38592
18,7,39867
18,3,39863
28,2,35902
53,8,38848
53,9,38849
28,8,36098
53,2,38842
54,9,38389
28,2,36092
50,13,286513
28,8,36258
4,8,36708
4,2,36702
28,2,36252
50,9,28249
4,2,36892
4,8,36898
15,2,37472
15,8,37478
15,9,37479
38,3,33113
38,2,33112
54,2,38442
38,9,33119
38,8,33118
54,8,38268
54,8,38448
54,9,38449
28,8,36418
28,2,36412
2,8,23148
57,3,34183
22,9,39679
22,3,39643
22,2,39642
52,2,29262
57,2,34182
52,8,29268
22,9,39649
22,8,39648
15,8,37278
15,9,37279
18,7,39887
4,2,36672
18,3,39883
15,2,37272
50,3,28323
15,8,37078
52,2,29272
56,7,33757
15,2,37072
56,2,33752
57,3,33933
57,2,33932
43,13,264013
15,8,37298
57,8,33938
52,2,29192
48,9,31599
22,2,39502
22,3,39503
52,2,29462
43,13,263613
56,13,339113
53,2,38692
18,3,27413
18,7,27417
53,8,38698
18,7,40007
3,8,23898
18,11,273411
18,13,273413
36,2,30822
50,13,284613
36,8,30828
22,13,394913
22,2,39472
22,3,39473
22,8,39478
22,9,39479
50,13,287813
48,3,31663
48,2,28022
48,9,28029
48,8,28028
15,2,37102
51,2,29042
15,9,37109
57,3,34103
57,2,34102
51,8,28938
56,13,337513
51,2,28932
3,2,23772
57,8,34108
3,8,23578
3,2,23572
15,2,37282
50,3,28483
54,8,38278
57,3,34033
57,2,34032
2,8,23178
54,2,38272
50,3,28333
57,8,34038
8,8,32568
53,2,35342
22,13,394713
50,13,282513
8,2,32562
53,8,35348
53,9,35349
2,8,23318
43,7,26427
43,2,26422
22,8,39098
52,8,32968
22,2,39092
22,3,39093
50,9,28159
22,9,39629
22,8,39258
22,9,39259
54,2,38302
50,3,28153
54,9,38309
8,2,32412
22,2,39252
22,3,39253
20,2,25332
53,9,38909
52,2,32982
20,8,25338
53,2,38902
50,13,281413
45,2,23952
2,2,23402
48,8,31888
45,8,23958
48,9,31879
50,9,28669
2,8,23408
48,2,31882
15,9,37409
50,3,28663
3,2,23792
9,2,26332
9,7,26337
3,8,23798
22,2,39512
28,8,35878
8,8,32188
8,2,32182
50,13,286613
8,2,32342
8,8,32348
22,3,39223
22,8,39388
18,7,27337
15,9,37009
53,2,38872
18,2,39872
53,9,38879
18,7,39877
28,8,36088
28,2,36082
4,8,36718
18,11,169611
28,8,36248
53,9,38119
4,2,36712
28,2,36242
18,13,169613
50,13,282913
15,8,37138
4,2,36882
4,8,36888
50,3,28243
50,13,284013
43,7,26377
15,8,37448
15,2,37442
38,2,33102
38,3,33103
22,13,392713
28,2,36402
53,8,35578
38,8,33108
54,8,38478
28,8,36408
15,8,37258
48,8,31898
54,9,38299
22,2,39652
52,2,29212
22,8,39658
52,8,29218
18,7,39897
4,2,36662
2,8,23438
4,8,36668
50,13,287113
52,8,28868
15,9,37049
15,8,37048
28,2,36062
38,8,33038
38,9,33039
50,13,285713
15,2,37042
56,2,33742
38,2,33032
38,3,33033
28,8,36068
56,7,33747
22,9,39119
56,2,33922
56,7,33927
22,13,395613
57,9,34079
53,2,38682
52,8,29328
52,8,29458
53,8,38688
53,9,38689
52,2,29452
52,2,29322
18,3,40013
18,7,40017
48,2,28012
22,3,39403
22,2,39402
28,8,35998
22,9,39409
22,8,39408
28,2,35992
48,2,28032
48,3,28033
48,8,28038
48,9,28039
15,2,37132
22,9,39509
15,9,37139
51,2,29032
57,8,34118
8,2,32572
22,13,394013
57,3,34093
57,2,34112
57,3,34113
2,8,23098
3,8,23548
3,2,23542
2,2,23092
50,13,284913
22,13,393613
22,9,39319
22,8,39318
22,9,39139
22,3,39313
