route_id,service_id,trip_id,shape_id
4,8,36818,4L
4,2,36812,4L
4,2,36762,4L
38,3,33083,38I
38,2,33082,38I
18,7,27497,18I
46,2,36582,46L
56,7,33737, 
38,8,33088,38I
46,8,36588,46L
56,2,33732, 
54,2,37692,54O
52,2,29352, 
54,9,37699,54O
15,2,37362,15I1035
2,2,23172,2L
15,8,37368,15I1035
15,9,37369,15I1035
28,8,36108,28O
50,9,28729,50L
50,9,28339,50L
28,2,36102,28O
56,2,33882, 
56,7,33887, 
22,9,34879,22L
50,9,28539,50L
22,8,35138,22L
50,3,28533,50L
22,2,35032,22L
15,8,37188,15O1520
15,9,37189,15O1520
15,2,37182,15O1520
38,9,33099,38I
54,8,37968,54O
54,8,37708,54O
52,8,29288, 
54,8,37748,54O
57,9,34039, 
15,8,37218,15L
46,2,36612,46L
52,2,29282, 
54,2,37962,54O
15,2,37212,15L
46,8,36618,46L
54,2,37742,54O
53,9,35599,53I
54,2,37982,54O
57,3,33953, 
57,2,33952, 
57,9,33959, 
57,8,33958, 
54,8,37988,54O
54,9,37989,54O
52,2,29132,52O
50,3,28403,50L
18,2,29912,18O
22,2,34982,22L
48,9,31779,48L
48,8,31778,48L
53,9,35619,53I
48,3,31773,48L
48,2,31772,48L
22,9,34989,22L
22,8,34988,22L
3,2,23662,3L
48,2,31552,48L
57,3,34053, 
57,2,34052, 
3,8,23668,3L
48,8,31558,48L
22,2,35052,22L
22,3,35053,22L
55,9,32929,55O
15,9,37099,15O0655
48,3,31483,48L
48,2,31482,48L
50,3,28713,50L
28,8,35908,28O
48,8,31488,48L
50,9,28719,50L
22,2,35122,22L
22,3,35123,22L
57,9,34189, 
57,8,34188, 
2,2,23062,2L
57,3,34183, 
57,2,34182, 
22,8,35128,22L
22,9,35129,22L
2,8,23068,2L
22,3,34623,22L
22,8,35278,22L
44,2,22622,44I
8,8,32478,8I
3,8,23488,3L
22,2,35272,22L
44,8,22628,44I
3,2,23482,3L
8,2,32472,8I
22,3,34613,22L
22,2,34612,22L
2,8,23248,2L
3,8,23718,3L
22,9,34619,22L
22,8,34618,22L
3,2,23712,3L
2,2,23242,2L
2,2,23392,2L
53,9,35699,53I
28,8,35878,28O
51,8,28888,51I
2,8,23398,2L
22,9,34629,22L
51,2,28882,51I
28,2,35872,28O
8,8,32618,8I
53,2,35472,53O
53,8,35478,53O
53,9,35479,53O
8,2,32612,8I
8,8,32588,8O
53,2,35672,53I
48,2,31952,48L
52,2,28862,52O
9,7,26287,9L
8,2,32582,8O
9,2,26282,9L
53,8,35678,53I
48,8,31958,48L
3,8,23808,3L
33,8,26448,33I
3,2,23802,3L
52,8,32968, 
33,2,26442,33I
20,8,25628,20Lexp
53,2,35582,53I
8,8,32278,8O
20,2,25622,20Lexp
53,8,35588,53I
8,2,32272,8O
