stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
240,245,Welch Road @ Lucas MRI,37.433166,-122.179878,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=245
241,246,El Camino @ Park Blvd,37.430258,-122.151809,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=246
242,250,Olmsted @ Studio 6,37.425142,-122.152323,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=250
245,255,3170 Porter,37.407949,-122.150317,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=255
246,258,Quarry Road @ Stanford Barn,37.437593,-122.172127,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=258
247,259,4100 Bohannon,37.481084,-122.177114,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=259
248,260,4700 Bohannon,37.479701,-122.174724,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=260
250,256,3165 Porter,37.408008,-122.150186,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=256
253,211,Menlo Caltrain - Merrill @ S Cruz,37.454233,-122.182109,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=211
256,262,145 El Camino Real - MP,37.44809,-122.173819,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=262
257,263,300 El Camino in MP,37.448419,-122.173821,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=263
258,265,PA Tech Stop 1,37.450538,-122.114341,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=265
259,266,PA Tech Stop 2,37.449714,-122.114235,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=266
260,267,Bowdoin @ Pine Hill Court,37.420217,-122.158265,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=267
261,277,Bowdoin @ LG Rains Houses #227,37.421896,-122.160475,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=277
262,280,Quarry Extension-Mid Block Bench,37.432995,-122.174047,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=280
263,155,Union City BART Station,37.589874,-122.016563,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=155
264,156,Fremont BART Station,37.557681,-121.975618,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=156
265,257,Bohannon Drive @ Campbell Avenue,37.478576,-122.18201,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=257
266,268,Ringwood @ MAHS,37.460188,-122.173632,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=268
267,269,Ringwood @ Middlefield,37.460544,-122.173309,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=269
268,270,1755 Embarcadero,37.450432,-122.118522,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=270
269,271,1730 Embarcadero,37.450181,-122.118674,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=271
270,290,Oak Creek Club,37.432686,-122.187597,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=290
271,253,Flood Park on Bay Road,37.475654,-122.175648,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=253
272,254,Bay Road at Flood Park,37.475478,-122.175416,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=254
273,272,1072 Embarcadero @ Wildwood,37.446778,-122.127318,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=272
274,273,991 Embarcadero @ N. Cal Ave.,37.446371,-122.128873,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=273
278,251,BOH at Cambell Tracks,37.478473,-122.181921,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=251
279,61,Palo Alto HS on Emarcadero,37.437717,-122.158323,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=61
